Family	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;?	21	0	1	0	23	12	20	35	5	4	3	84	9	12	48	3	19	12	11	0	0	23	51	1	3	12	64	28	14	24	46	7	27	65	16	77	4	2	31	50	13	0	0	47	1	267	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria	1	4	3	0	0	1	0	10	0	3	1	6	0	0	0	0	0	2	4	29	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	4	4	7	1	1	1	4	7	4	0	0	2	0	4	2	3	0	2	2	1	2	3	1	1	0	1	2	1	2	1	0	0	0	2	0	2	0	0	1	2	0	1622	718	4	6	1	2	1	2293	6	654
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	113	134	50	166	105	128	95	48	234	167	36	106	24	37	70	91	42	266	52	3	56	41	50	66	34	19	17	44	51	39	4	49	57	160	50	333	3	679	0	1	0	0	0	329	130	85	42	15	0	0	3
Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;0319-6G20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae	918	277	22	32	4	2	9	13	7	3	5	410	5	5	11	2	9	1	26	8	3	3	775	1	2	2	2	1	1	2	3	0	3	43	122	0	0	0	2	1	1	0	510	51	151	173	137	12	1022	1143	118
Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae	4	3	5	2	1	0	2	0	2	1	0	1	1	2	0	2	0	0	2	2	1	4	1	2	0	2	0	1	2	3	0	1	0	5	3	0	1	1	2	0	1	0	0	3	7	1	1	3	1	2974	3
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	51	24	111	52	32	24	34	264	271	64	43	50	29	9	19	95	47	237	99	5281	220	82	62	7	182	6487	4674	34	212	32	311	28	110	61	2971	42	43	49	35	73	63	7100	41	26	7185	617	48	34	5549	3356	5973
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	2	4	13	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	3	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	776	0	0	0	1	16	79	0	325	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	1	0	1	1	0	0	1	0	1	0	0	2	1	0	2	0	0	0	0	2	0	1	1	0	1	1	2	1	2	2	1	0	2	0	1	3	0	1	0	1	1	1007	218	1	4	3	0	1	151	0	1797
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	0	1	0	0	0	2	1	12	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	250	0	0	0	0	0	2	554	0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	0	0	0	0	1	0	4	0	3	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	150	92	0	0	0	0	1	0	64	0
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	849	0	0
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae	0	0	0	0	34	4	75	51	59	35	34	0	1	10	3	17	162	188	16	2	8	13	0	3	11	3	190	27	22	93	0	113	144	5	20	32	32	5	0	0	43	1	0	9	3	1	1	0	0	1	1
Bacteria;Tenericutes;Mollicutes;Mollicutes RF39;?	0	0	0	0	8	24	198	38	39	0	2	0	7	1	4	5	20	15	59	1	3	8	0	4	25	9	0	4	2	1	7	33	3	0	17	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Mollicutes RF39;uncultured Firmicutes bacterium	0	0	0	0	0	2	2	0	6	0	0	0	0	1	1	1	6	0	1	0	0	0	0	4	1	37	0	4	0	11	1	1	13	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Mollicutes RF39;uncultured rumen bacterium	0	0	0	0	1	6	107	2	9	2	5	1	0	3	4	0	25	1	12	0	1	0	0	0	0	183	0	18	31	0	0	9	10	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae	4	0	0	0	1	0	0	0	1	0	0	40	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	0	39	0	0	0	0	0	0	0	455	0	24	0	1	1	1	0	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0
